id,hypers,f1_score
11,"{'adam_eps': 2.4625312432972975e-05, 'adam_mom': 0.9490029781882844, 'adam_sqr_mom': 0.9782895280268201, 'adam_wd': 0.015042102691574646, 'arc_easymargin': 1, 'arcface_m': 0.2832945121554911, 'arcface_s': 20.792698356665518, 'bert_path': 'indobenchmark/indobert-base-p2', 'droput_p': 0.528152191393187, 'embs_dim': 768, 'experiment_id': 11, 'label_smooth': 0.08060534609075586, 'lr': 0.0024104151385495624, 'lr_mult': 23.0, 'tokens_max_length': 59, 'train_epochs': 12, 'train_freeze_epochs': 1, 'use_argmargin': 0}",0.8067430047002873
12,"{'adam_eps': 2.118058669173721e-05, 'adam_mom': 0.8800649987312599, 'adam_sqr_mom': 0.9663124103436146, 'adam_wd': 0.017883878266284233, 'arc_easymargin': 1, 'arcface_m': 0.4750653294169318, 'arcface_s': 47.07156112524466, 'bert_path': 'indobenchmark/indobert-base-p2', 'droput_p': 0.25587123759638963, 'embs_dim': 768, 'experiment_id': 12, 'label_smooth': 0.13843971245233896, 'lr': 0.0029282491895136434, 'lr_mult': 28.0, 'tokens_max_length': 27, 'train_epochs': 12, 'train_freeze_epochs': 3, 'use_argmargin': 0}",0.8066049200646622
13,"{'adam_eps': 5.319979998261989e-06, 'adam_mom': 0.8283619713839385, 'adam_sqr_mom': 0.9624369013645725, 'adam_wd': 0.038062797268539963, 'arc_easymargin': 1, 'arcface_m': 0.7890762411241842, 'arcface_s': 40.46423562173352, 'bert_path': 'indobenchmark/indobert-base-p2', 'droput_p': 0.17499538903422968, 'embs_dim': 768, 'experiment_id': 13, 'label_smooth': 0.1950364054673795, 'lr': 0.003488864733378099, 'lr_mult': 47.0, 'tokens_max_length': 46, 'train_epochs': 12, 'train_freeze_epochs': 3, 'use_argmargin': 0}",0.8062830657413912
14,"{'adam_eps': 3.341069927938611e-05, 'adam_mom': 0.8449632880062001, 'adam_sqr_mom': 0.9910500952709501, 'adam_wd': 0.006416461845521736, 'arc_easymargin': 0, 'arcface_m': 0.7648750309356609, 'arcface_s': 29.885739720116632, 'bert_path': 'indobenchmark/indobert-base-p2', 'droput_p': 0.4497950364559189, 'embs_dim': 768, 'experiment_id': 14, 'label_smooth': 0.19420439336237222, 'lr': 0.0017363364136178047, 'lr_mult': 29.0, 'tokens_max_length': 36, 'train_epochs': 12, 'train_freeze_epochs': 1, 'use_argmargin': 1}",0.8175611834995189
15,"{'adam_eps': 8.713723840248676e-05, 'adam_mom': 0.8902443493192351, 'adam_sqr_mom': 0.9922265442085235, 'adam_wd': 0.00830414540048512, 'arc_easymargin': 0, 'arcface_m': 0.5448440203443927, 'arcface_s': 11.306145849754259, 'bert_path': 'indobenchmark/indobert-base-p2', 'droput_p': 0.2543501270128571, 'embs_dim': 768, 'experiment_id': 15, 'label_smooth': 0.146504655286917, 'lr': 0.003783956236250462, 'lr_mult': 78.0, 'tokens_max_length': 63, 'train_epochs': 12, 'train_freeze_epochs': 2, 'use_argmargin': 0}",0.795548694981584
16,"{'adam_eps': 9.246837709129376e-05, 'adam_mom': 0.8148446383839238, 'adam_sqr_mom': 0.9640008642837825, 'adam_wd': 0.006898116067854094, 'arc_easymargin': 1, 'arcface_m': 0.46784464568119066, 'arcface_s': 24.749725232743288, 'bert_path': 'indobenchmark/indobert-base-p2', 'droput_p': 0.18247780000529262, 'embs_dim': 768, 'experiment_id': 16, 'label_smooth': 0.17512609288382908, 'lr': 0.003257438140550994, 'lr_mult': 53.0, 'tokens_max_length': 64, 'train_epochs': 12, 'train_freeze_epochs': 1, 'use_argmargin': 1}",0.8165255905570511
17,"{'adam_eps': 5.59302980191146e-05, 'adam_mom': 0.8566677511045506, 'adam_sqr_mom': 0.9586532007897279, 'adam_wd': 0.03400169986984815, 'arc_easymargin': 0, 'arcface_m': 0.18019108424275843, 'arcface_s': 33.93398835126064, 'bert_path': 'indobenchmark/indobert-base-p2', 'droput_p': 0.3645201904585812, 'embs_dim': 768, 'experiment_id': 17, 'label_smooth': 0.19705464129509975, 'lr': 0.002346676235823233, 'lr_mult': 76.0, 'tokens_max_length': 25, 'train_epochs': 12, 'train_freeze_epochs': 2, 'use_argmargin': 0}",0.8018092752066113
18,"{'adam_eps': 4.1082776341769764e-05, 'adam_mom': 0.9488236892700357, 'adam_sqr_mom': 0.9721428626021249, 'adam_wd': 0.013315981125055394, 'arc_easymargin': 1, 'arcface_m': 0.13180771740065708, 'arcface_s': 10.37419915974272, 'bert_path': 'indobenchmark/indobert-base-p2', 'droput_p': 0.4124191145699482, 'embs_dim': 768, 'experiment_id': 18, 'label_smooth': 0.10555396123723818, 'lr': 0.00954243464114676, 'lr_mult': 66.0, 'tokens_max_length': 79, 'train_epochs': 12, 'train_freeze_epochs': 2, 'use_argmargin': 0}",0.7833855109362586
19,"{'adam_eps': 9.259600992146319e-06, 'adam_mom': 0.9367789778779888, 'adam_sqr_mom': 0.9558008474819863, 'adam_wd': 0.013294224549378952, 'arc_easymargin': 1, 'arcface_m': 0.3253209617534079, 'arcface_s': 23.64134390572364, 'bert_path': 'indobenchmark/indobert-base-p2', 'droput_p': 0.14167584460308172, 'embs_dim': 768, 'experiment_id': 19, 'label_smooth': 0.07621776013471493, 'lr': 0.0015169573093144712, 'lr_mult': 66.0, 'tokens_max_length': 50, 'train_epochs': 12, 'train_freeze_epochs': 2, 'use_argmargin': 0}",0.8063806532354001
20,"{'adam_eps': 4.518139081448776e-06, 'adam_mom': 0.8898728202651697, 'adam_sqr_mom': 0.9600708356655915, 'adam_wd': 0.043541547714039106, 'arc_easymargin': 1, 'arcface_m': 0.2886766668144982, 'arcface_s': 15.784060543489847, 'bert_path': 'indobenchmark/indobert-base-p2', 'droput_p': 0.1891381176424347, 'embs_dim': 768, 'experiment_id': 20, 'label_smooth': 0.11901399189630102, 'lr': 0.006933632077201424, 'lr_mult': 96.0, 'tokens_max_length': 34, 'train_epochs': 12, 'train_freeze_epochs': 2, 'use_argmargin': 1}",0.8088159075366854
